time,backscatter40,swath_indicator,as_des_pass,sat_id
2007-01-01T04:11:02Z,-18.138327,1,0,3
2007-01-02T03:50:16Z,-18.249712,1,0,3
2007-01-02T16:04:58Z,-18.546434,1,1,3
2007-01-03T17:24:20Z,-17.615808,0,1,3
2007-01-04T03:08:54Z,-15.992,0,0,3
2007-01-04T17:03:44Z,-17.324469,0,1,3
2007-01-05T02:48:18Z,-16.102976,0,0,3
2007-01-06T04:07:39Z,-17.588655,1,0,3
2007-01-06T16:22:21Z,-17.852865,1,1,3
2007-01-07T03:46:53Z,-16.518856,1,0,3
2007-01-07T16:01:34Z,-17.851992,1,1,3
2007-01-08T17:20:58Z,-17.90172,0,1,3
2007-01-09T03:05:32Z,-17.486824,0,0,3
2007-01-09T17:00:21Z,-17.395868,0,1,3
2007-01-10T02:44:57Z,-17.618315,0,0,3
2007-01-11T04:04:15Z,-17.232422,1,0,3
2007-01-11T16:18:57Z,-17.850471,1,1,3
2007-01-12T03:43:29Z,,1,0,3
2007-01-12T15:58:10Z,-17.893736,1,1,3
2007-01-13T17:17:35Z,-18.234879,0,1,3
2007-01-14T03:02:09Z,-17.67495,0,0,3
2007-01-14T16:56:59Z,,0,1,3
2007-01-15T02:41:35Z,-17.318068,0,0,3
2007-01-16T04:00:51Z,-17.553255,1,0,3
2007-01-16T16:15:33Z,-17.966673,1,1,3
2007-01-17T15:54:46Z,-17.564634,1,1,3
2007-01-17T17:34:47Z,,0,1,3
2007-01-18T17:14:14Z,-18.168135,0,1,3
2007-01-19T02:58:47Z,-17.696733,0,0,3
2007-01-20T04:18:14Z,-18.005331,1,0,3
2007-01-21T03:57:26Z,-17.47175,1,0,3
2007-01-21T16:12:09Z,-17.961243,1,1,3
2007-01-22T17:31:25Z,-18.19651,0,1,3
2007-01-23T03:16:01Z,,0,0,3
2007-01-23T17:10:51Z,-18.286692,0,1,3
2007-01-24T02:55:24Z,-17.714159,0,0,3
2007-01-25T04:14:50Z,-17.942413,1,0,3
2007-01-25T16:29:31Z,,1,1,3
2007-01-26T03:54:02Z,-17.358995,1,0,3
2007-01-26T16:08:45Z,-17.842375,1,1,3
2007-01-27T17:28:04Z,-17.966066,0,1,3
2007-01-28T03:12:38Z,-17.344322,0,0,3
2007-01-28T17:07:28Z,-17.966469,0,1,3
2007-01-29T02:52:02Z,-17.582407,0,0,3
2007-01-30T04:11:24Z,-17.344313,1,0,3
2007-01-30T16:26:07Z,-17.49867,1,1,3
2007-01-31T03:50:38Z,-17.202246,1,0,3
2007-01-31T16:05:20Z,-17.694094,1,1,3
2007-02-01T17:24:41Z,-18.24469,0,1,3
2007-02-02T03:09:16Z,-17.640581,0,0,3
2007-02-02T17:04:05Z,-17.87463,0,1,3
2007-02-03T02:48:40Z,-17.344267,0,0,3
2007-02-04T04:08:00Z,-17.311739,1,0,3
2007-02-04T16:22:43Z,-17.797487,1,1,3
2007-02-05T03:47:14Z,-16.662329,1,0,3
2007-02-05T16:01:55Z,-17.796984,1,1,3
2007-02-06T17:21:18Z,-18.039291,0,1,3
2007-02-07T03:05:52Z,-17.780134,0,0,3
2007-02-07T17:00:42Z,-17.760576,0,1,3
2007-02-08T02:45:17Z,-17.715406,0,0,3
2007-02-09T04:04:35Z,-17.447838,1,0,3
2007-02-09T16:19:17Z,-18.13172,1,1,3
2007-02-10T03:43:49Z,,1,0,3
2007-02-10T15:58:30Z,-17.833042,1,1,3
2007-02-11T17:17:55Z,-18.307955,0,1,3
2007-02-12T03:02:29Z,-17.91098,0,0,3
2007-02-12T16:57:18Z,,0,1,3
2007-02-13T02:41:55Z,-17.375154,0,0,3
2007-02-14T04:01:10Z,-17.421669,1,0,3
2007-02-14T16:15:53Z,-17.756004,1,1,3
2007-02-15T15:55:05Z,-17.32148,1,1,3
2007-02-15T17:35:07Z,,0,1,3
2007-02-16T17:14:33Z,-18.289291,0,1,3
2007-02-17T02:59:06Z,-17.754942,0,0,3
2007-02-18T04:18:33Z,-17.893637,1,0,3
2007-02-19T03:57:46Z,-17.372536,1,0,3
2007-02-19T16:12:28Z,-17.643816,1,1,3
2007-02-20T17:31:44Z,-17.436903,0,1,3
2007-02-21T03:16:20Z,,0,0,3
2007-02-21T17:11:10Z,-16.057312,0,1,3
2007-02-22T02:55:43Z,-15.226819,0,0,3
2007-02-24T03:54:21Z,-15.455588,1,0,3
2007-02-24T16:09:03Z,-15.574912,1,1,3
2007-02-25T17:28:22Z,-16.197739,0,1,3
2007-02-26T03:12:56Z,-15.733684,0,0,3
2007-02-26T17:07:46Z,-16.494831,0,1,3
2007-02-27T02:52:20Z,-15.378081,0,0,3
2007-03-01T16:05:37Z,-16.117304,1,1,3
2007-03-02T17:24:58Z,-16.203749,0,1,3
2007-03-03T03:09:33Z,-15.4357,0,0,3
2007-03-03T17:04:22Z,-16.152502,0,1,3
2007-03-04T02:48:57Z,-14.966582,0,0,3
2007-03-05T04:08:17Z,-14.814831,1,0,3
2007-03-05T16:22:59Z,-15.383473,1,1,3
2007-03-06T03:47:30Z,-14.567626,1,0,3
2007-03-06T16:02:12Z,-15.01591,1,1,3
2007-03-07T17:21:35Z,-15.363878,0,1,3
2007-03-08T03:06:09Z,-15.000609,0,0,3
2007-03-08T17:00:58Z,-15.453739,0,1,3
2007-03-09T02:45:34Z,-15.233693,0,0,3
2007-03-10T04:04:51Z,-13.808573,1,0,3
2007-03-10T16:19:34Z,-13.989301,1,1,3
2007-03-11T03:44:05Z,,1,0,3
2007-03-11T15:58:46Z,-14.940004,1,1,3
2007-03-12T17:18:11Z,-14.611047,0,1,3
2007-03-13T03:02:45Z,-13.980641,0,0,3
2007-03-13T16:57:34Z,,0,1,3
2007-03-14T02:42:10Z,-14.638443,0,0,3
2007-03-15T04:01:26Z,-14.511722,1,0,3
2007-03-15T16:16:08Z,-14.836223,1,1,3
2007-03-16T15:55:20Z,-15.7819,1,1,3
2007-03-16T17:35:22Z,,0,1,3
2007-03-17T17:14:48Z,-14.059253,0,1,3
2007-03-18T02:59:21Z,-14.318179,0,0,3
2007-03-19T04:18:48Z,-14.63184,1,0,3
2007-03-20T03:58:00Z,-15.754587,1,0,3
2007-03-20T16:12:43Z,-14.181358,1,1,3
2007-03-21T17:31:59Z,-14.330971,0,1,3
2007-03-22T03:16:34Z,,0,0,3
2007-03-22T17:11:24Z,-13.994075,0,1,3
2007-03-23T02:55:57Z,-14.74042,0,0,3
2007-03-24T04:15:23Z,-15.167798,1,0,3
2007-03-24T16:30:03Z,,1,1,3
2007-03-25T03:54:35Z,-13.630359,1,0,3
2007-03-25T16:09:17Z,-12.108956,1,1,3
2007-03-26T17:28:35Z,-14.377347,0,1,3
2007-03-27T03:13:10Z,-14.808155,0,0,3
2007-03-27T17:08:00Z,-14.439595,0,1,3
2007-03-28T02:52:33Z,-14.289741,0,0,3
2007-03-29T04:11:56Z,-12.082165,1,0,3
2007-03-29T16:26:37Z,-11.992742,1,1,3
2007-03-30T03:51:09Z,-12.417232,1,0,3
2007-03-30T16:05:51Z,-10.640787,1,1,3
2007-03-31T17:25:11Z,-11.952067,0,1,3
2007-04-01T03:09:46Z,-10.93555,0,0,3
2007-04-01T17:04:36Z,-12.879172,0,1,3
2007-04-02T02:49:10Z,-12.796985,0,0,3
2007-04-03T04:08:30Z,-12.765132,1,0,3
2007-04-03T16:23:12Z,-13.636401,1,1,3
2007-04-04T03:47:43Z,-13.694992,1,0,3
2007-04-04T16:02:24Z,-14.621739,1,1,3
2007-04-05T17:21:48Z,-14.780643,0,1,3
2007-04-06T03:06:21Z,-14.424358,0,0,3
2007-04-06T17:01:11Z,-14.947091,0,1,3
2007-04-07T02:45:45Z,-14.820434,0,0,3
2007-04-08T04:05:04Z,-14.628015,1,0,3
2007-04-08T16:19:45Z,-14.173527,1,1,3
2007-04-09T03:44:17Z,,1,0,3
2007-04-09T15:58:58Z,-14.191158,1,1,3
2007-04-10T17:18:24Z,-15.017171,0,1,3
2007-04-11T03:02:56Z,-13.9843645,0,0,3
2007-04-11T16:57:46Z,,0,1,3
2007-04-12T02:42:22Z,-14.764165,0,0,3
2007-04-13T04:01:37Z,-14.125224,1,0,3
2007-04-13T16:16:20Z,-14.222354,1,1,3
2007-04-14T15:55:31Z,-13.9596815,1,1,3
2007-04-14T17:35:34Z,,0,1,3
2007-04-15T17:14:59Z,-13.101753,0,1,3
2007-04-16T02:59:32Z,-13.252599,0,0,3
2007-04-17T04:18:59Z,-15.542043,1,0,3
2007-04-18T03:58:10Z,-14.812919,1,0,3
2007-04-18T16:12:53Z,-14.02643,1,1,3
2007-04-19T17:32:10Z,-14.76004,0,1,3
2007-04-20T03:16:45Z,,0,0,3
2007-04-25T17:08:09Z,-14.621076,0,1,3
2007-04-26T02:52:42Z,-14.604053,0,0,3
2007-04-27T04:12:05Z,-15.05879,1,0,3
2007-04-27T16:26:46Z,-14.6938925,1,1,3
2007-04-28T03:51:17Z,-15.91882,1,0,3
2007-04-28T16:05:59Z,-14.57423,1,1,3
2007-04-29T17:25:20Z,-14.666756,0,1,3
2007-04-30T03:09:53Z,-15.917285,0,0,3
2007-04-30T17:04:43Z,-15.944686,0,1,3
2007-05-01T02:49:18Z,-14.474826,0,0,3
2007-05-02T04:08:38Z,-15.529315,1,0,3
2007-05-02T16:23:19Z,-15.883811,1,1,3
2007-05-03T03:47:51Z,-16.012777,1,0,3
2007-05-03T16:02:32Z,-14.3563,1,1,3
2007-05-05T03:06:28Z,-14.165961,0,0,3
2007-05-05T17:01:17Z,-12.558144,0,1,3
2007-05-06T02:45:53Z,-9.968928,0,0,3
2007-05-07T16:19:52Z,-13.314694,1,1,3
2007-05-08T03:44:23Z,,1,0,3
2007-05-08T15:59:04Z,-13.443571,1,1,3
2007-05-09T17:18:29Z,-14.326458,0,1,3
2007-05-10T03:03:03Z,-14.709251,0,0,3
2007-05-10T16:57:52Z,,0,1,3
2007-05-11T02:42:27Z,-14.108515,0,0,3
2007-05-12T04:01:43Z,-15.477498,1,0,3
2007-05-12T16:16:25Z,-14.573291,1,1,3
2007-05-13T15:55:36Z,-13.316588,1,1,3
2007-05-13T17:35:38Z,,0,1,3
2007-05-14T17:15:04Z,-14.252552,0,1,3
2007-05-15T02:59:37Z,-15.080097,0,0,3
2007-05-16T04:19:04Z,-15.539001,1,0,3
2007-05-17T03:58:15Z,-16.178007,1,0,3
2007-05-17T16:12:57Z,-15.068401,1,1,3
2007-05-18T17:32:13Z,-14.54565,0,1,3
2007-05-19T03:16:49Z,,0,0,3
2007-05-19T17:11:38Z,-16.128801,0,1,3
2007-05-20T02:56:11Z,-14.726823,0,0,3
2007-05-21T04:15:36Z,-15.937343,1,0,3
2007-05-21T16:30:16Z,,1,1,3
2007-05-22T03:54:48Z,-15.801358,1,0,3
2007-05-22T16:09:30Z,-11.948682,1,1,3
2007-05-23T17:28:48Z,-12.783368,0,1,3
2007-05-24T03:13:22Z,-14.446425,0,0,3
2007-05-24T17:08:12Z,-14.500365,0,1,3
2007-05-25T02:52:45Z,-15.181963,0,0,3
2007-05-26T04:12:07Z,-13.325219,1,0,3
2007-05-26T16:26:48Z,-12.924899,1,1,3
2007-05-27T03:51:19Z,-15.342464,1,0,3
2007-05-27T16:06:01Z,-14.206242,1,1,3
2007-05-28T17:25:22Z,-14.765209,0,1,3
2007-05-29T03:09:55Z,-15.312339,0,0,3
2007-05-29T17:04:45Z,-15.57468,0,1,3
2007-05-30T02:49:19Z,-15.142043,0,0,3
2007-05-31T04:08:39Z,-12.173043,1,0,3
2007-05-31T16:23:21Z,-12.815059,1,1,3
2007-06-01T03:47:52Z,-12.876,1,0,3
2007-06-01T16:02:33Z,-13.145047,1,1,3
2007-06-02T17:21:56Z,-13.10204,0,1,3
2007-06-03T03:06:29Z,-12.699593,0,0,3
2007-06-03T17:01:19Z,-12.512389,0,1,3
2007-06-04T02:45:53Z,-13.561763,0,0,3
2007-06-05T04:05:11Z,-14.337112,1,0,3
2007-06-05T16:19:53Z,-13.920141,1,1,3
2007-06-06T03:44:24Z,,1,0,3
2007-06-06T15:59:04Z,-13.310163,1,1,3
2007-06-07T17:18:29Z,-12.946434,0,1,3
2007-06-08T03:03:03Z,-13.813297,0,0,3
2007-06-08T16:57:51Z,,0,1,3
2007-06-09T02:42:28Z,-15.01179,0,0,3
2007-06-10T04:01:43Z,-14.548142,1,0,3
2007-06-10T16:16:24Z,-14.290099,1,1,3
2007-06-11T15:55:36Z,-14.067195,1,1,3
2007-06-11T17:35:38Z,,0,1,3
2007-06-12T17:15:03Z,-15.005944,0,1,3
2007-06-13T02:59:36Z,-11.672562,0,0,3
2007-06-14T04:19:03Z,-14.348195,1,0,3
2007-06-15T03:58:14Z,-13.318915,1,0,3
2007-06-15T16:12:56Z,-13.358525,1,1,3
2007-06-16T17:32:11Z,-14.860552,0,1,3
2007-06-17T03:16:47Z,,0,0,3
2007-06-17T17:11:36Z,-14.026392,0,1,3
2007-06-18T02:56:09Z,-12.217002,0,0,3
2007-06-19T04:15:34Z,-11.789321,1,0,3
2007-06-19T16:30:14Z,,1,1,3
2007-06-20T03:54:45Z,-13.75462,1,0,3
2007-06-20T16:09:27Z,-14.424297,1,1,3
2007-06-21T17:28:45Z,-13.494824,0,1,3
2007-06-22T03:13:20Z,-13.7546,0,0,3
2007-06-22T17:08:09Z,-13.47668,0,1,3
2007-06-23T02:52:43Z,-14.15566,0,0,3
2007-06-24T04:12:05Z,-13.7170515,1,0,3
2007-06-24T16:26:46Z,-14.389896,1,1,3
2007-06-25T03:51:17Z,-14.6341505,1,0,3
2007-06-25T16:05:58Z,-13.696404,1,1,3
2007-06-26T17:25:19Z,-12.049317,0,1,3
2007-06-27T03:09:52Z,-15.373647,0,0,3
2007-06-27T17:04:42Z,-14.439106,0,1,3
2007-06-28T02:49:16Z,-14.849902,0,0,3
2007-06-29T04:08:36Z,-14.148139,1,0,3
2007-06-29T16:23:17Z,-14.92688,1,1,3
2007-06-30T03:47:49Z,-14.879993,1,0,3
2007-06-30T16:02:29Z,-13.866727,1,1,3
2007-07-01T17:21:52Z,-14.791705,0,1,3
2007-07-02T03:06:25Z,-12.182174,0,0,3
2007-07-02T17:01:15Z,-13.226814,0,1,3
2007-07-03T02:45:49Z,-13.531283,0,0,3
2007-07-04T04:05:07Z,-13.248975,1,0,3
2007-07-04T16:19:48Z,-14.198189,1,1,3
2007-07-05T15:59:00Z,-14.200664,1,1,3
2007-07-06T17:18:25Z,-14.078569,0,1,3
2007-07-07T03:02:58Z,-14.740525,0,0,3
2007-07-07T16:57:47Z,,0,1,3
2007-07-08T02:42:23Z,-14.402715,0,0,3
2007-07-09T04:01:38Z,-13.388465,1,0,3
2007-07-09T16:16:19Z,-14.092319,1,1,3
2007-07-10T15:55:30Z,-15.196493,1,1,3
2007-07-10T17:35:33Z,,0,1,3
2007-07-11T17:14:58Z,-12.784073,0,1,3
2007-07-12T02:59:31Z,-14.843392,0,0,3
2007-07-13T04:18:57Z,-14.18167,1,0,3
2007-07-14T03:58:09Z,-13.636226,1,0,3
2007-07-14T16:12:51Z,-14.882545,1,1,3
2007-07-15T17:32:08Z,-13.174031,0,1,3
2007-07-16T03:16:43Z,-15.019595,0,0,3
2007-07-16T17:11:32Z,-13.54968,0,1,3
2007-07-17T02:56:05Z,-14.070107,0,0,3
2007-07-18T04:15:30Z,-14.01176,1,0,3
2007-07-18T16:30:11Z,,1,1,3
2007-07-19T03:54:42Z,-14.249275,1,0,3
2007-07-19T16:09:24Z,-14.068451,1,1,3
2007-07-20T17:28:43Z,-14.459061,0,1,3
2007-07-21T03:13:17Z,-15.190422,0,0,3
2007-07-21T17:08:07Z,-14.795522,0,1,3
2007-07-22T02:52:41Z,-13.895457,0,0,3
2007-07-23T04:12:02Z,-13.923725,1,0,3
2007-07-23T16:26:43Z,-14.458584,1,1,3
2007-07-24T03:51:15Z,-14.701648,1,0,3
2007-07-24T16:05:56Z,-13.218411,1,1,3
2007-07-25T17:25:17Z,-14.768169,0,1,3
2007-07-26T03:09:52Z,-14.744064,0,0,3
2007-07-26T17:04:41Z,-12.106163,0,1,3
2007-07-27T02:49:16Z,-13.53855,0,0,3
2007-07-28T04:08:35Z,-13.9982605,1,0,3
2007-07-28T16:23:17Z,-14.010552,1,1,3
2007-07-29T03:47:48Z,-13.7376175,1,0,3
2007-07-29T16:02:29Z,-14.430072,1,1,3
2007-07-30T17:21:53Z,-14.675309,0,1,3
2007-07-31T03:06:25Z,-14.621355,0,0,3
2007-07-31T17:01:15Z,-14.729503,0,1,3
2007-08-01T02:45:50Z,-14.433578,0,0,3
2007-08-02T04:05:07Z,-14.394008,1,0,3
2007-08-02T16:19:50Z,-15.129252,1,1,3
2007-08-03T15:59:01Z,-14.295614,1,1,3
2007-08-04T17:18:27Z,-14.671293,0,1,3
2007-08-05T03:03:00Z,-14.648664,0,0,3
2007-08-05T16:57:49Z,,0,1,3
2007-08-06T02:42:25Z,-14.390693,0,0,3
2007-08-07T04:01:40Z,-13.32639,1,0,3
2007-08-07T16:16:22Z,-13.52493,1,1,3
2007-08-08T15:55:34Z,-13.918326,1,1,3
2007-08-08T17:35:36Z,,0,1,3
2007-08-09T17:15:01Z,-13.272042,0,1,3
2007-08-10T02:59:34Z,-13.94553,0,0,3
2007-08-11T04:19:01Z,-14.165206,1,0,3
2007-08-12T03:58:12Z,-13.6964,1,0,3
2007-08-12T16:12:55Z,-13.769973,1,1,3
2007-08-13T17:32:10Z,-14.68753,0,1,3
2007-08-14T03:16:46Z,-14.243493,0,0,3
2007-08-14T17:11:35Z,-14.761675,0,1,3
2007-08-15T02:56:08Z,-13.863896,0,0,3
2007-08-16T04:15:33Z,-14.854985,1,0,3
2007-08-16T16:30:13Z,,1,1,3
2007-08-17T03:54:45Z,-14.597758,1,0,3
2007-08-17T16:09:27Z,-13.65774,1,1,3
2007-08-18T17:28:46Z,-12.397807,0,1,3
2007-08-19T03:13:20Z,-11.382211,0,0,3
