time,backscatter40,swath_indicator,as_des_pass,sat_id
2007-01-01T04:11:20Z,-18.511513,1,0,3
2007-01-02T03:50:33Z,-18.238005,1,0,3
2007-01-02T16:04:43Z,-18.214222,1,1,3
2007-01-03T17:24:06Z,-15.158,0,1,3
2007-01-04T03:09:10Z,-14.61147,0,0,3
2007-01-04T17:03:29Z,-15.959525,0,1,3
2007-01-05T02:48:34Z,-15.430527,0,0,3
2007-01-06T04:07:56Z,-16.94547,1,0,3
2007-01-06T16:22:06Z,-17.363976,1,1,3
2007-01-07T03:47:10Z,-16.004028,1,0,3
2007-01-07T16:01:18Z,-17.088236,1,1,3
2007-01-08T17:20:44Z,-17.218805,0,1,3
2007-01-09T03:05:48Z,-17.218122,0,0,3
2007-01-09T17:00:07Z,,0,1,3
2007-01-10T02:45:13Z,-16.876001,0,0,3
2007-01-11T04:04:32Z,-17.134201,1,0,3
2007-01-11T16:18:42Z,-17.388952,1,1,3
2007-01-12T03:43:46Z,,1,0,3
2007-01-12T15:57:53Z,-17.085308,1,1,3
2007-01-12T17:37:56Z,-18.157137,0,1,3
2007-01-13T17:17:22Z,-17.441511,0,1,3
2007-01-14T03:02:26Z,-17.062342,0,0,3
2007-01-15T02:41:51Z,-16.715748,0,0,3
2007-01-15T04:21:56Z,,1,0,3
2007-01-16T04:01:08Z,-16.944756,1,0,3
2007-01-16T16:15:18Z,-17.377893,1,1,3
2007-01-17T17:34:35Z,-17.733221,0,1,3
2007-01-18T17:13:59Z,-17.741625,0,1,3
2007-01-19T02:59:04Z,-17.146637,0,0,3
2007-01-20T02:38:29Z,-15.950089,0,0,3
2007-01-20T04:18:31Z,-18.002205,1,0,3
2007-01-20T16:32:39Z,,1,1,3
2007-01-21T03:57:43Z,-17.214293,1,0,3
2007-01-21T16:11:54Z,-17.478464,1,1,3
2007-01-22T17:31:13Z,-17.620876,0,1,3
2007-01-23T03:16:18Z,,0,0,3
2007-01-23T17:10:37Z,-17.744293,0,1,3
2007-01-24T02:55:41Z,-17.158163,0,0,3
2007-01-25T04:15:07Z,-17.725662,1,0,3
2007-01-25T16:29:15Z,-17.568365,1,1,3
2007-01-26T03:54:19Z,-17.202412,1,0,3
2007-01-26T16:08:28Z,-17.310278,1,1,3
2007-01-27T17:27:50Z,-17.29963,0,1,3
2007-01-28T03:12:55Z,-17.35029,0,0,3
2007-01-28T17:07:14Z,-17.479034,0,1,3
2007-01-29T02:52:19Z,-16.97539,0,0,3
2007-01-30T04:11:42Z,-17.112028,1,0,3
2007-01-30T16:25:51Z,-17.54885,1,1,3
2007-01-31T03:50:55Z,-17.090614,1,0,3
2007-01-31T16:05:04Z,-17.172594,1,1,3
2007-02-01T17:24:28Z,-17.67373,0,1,3
2007-02-02T03:09:32Z,-17.337133,0,0,3
2007-02-02T17:03:51Z,-17.495518,0,1,3
2007-02-03T02:48:56Z,-16.77315,0,0,3
2007-02-04T04:08:17Z,-17.042805,1,0,3
2007-02-04T16:22:26Z,-17.597597,1,1,3
2007-02-05T03:47:31Z,-16.362844,1,0,3
2007-02-05T16:01:39Z,-17.179377,1,1,3
2007-02-06T17:21:05Z,-17.910032,0,1,3
2007-02-07T03:06:09Z,-17.663057,0,0,3
2007-02-07T17:00:27Z,,0,1,3
2007-02-08T02:45:33Z,-16.967192,0,0,3
2007-02-09T04:04:52Z,-17.234085,1,0,3
2007-02-09T16:19:02Z,-18.05375,1,1,3
2007-02-10T03:44:06Z,,1,0,3
2007-02-10T15:58:13Z,-17.353899,1,1,3
2007-02-10T17:38:16Z,-18.131926,0,1,3
2007-02-11T17:17:42Z,-17.882784,0,1,3
2007-02-12T03:02:46Z,-17.597769,0,0,3
2007-02-13T02:42:11Z,-16.952759,0,0,3
2007-02-13T04:22:16Z,,1,0,3
2007-02-14T04:01:27Z,-17.374472,1,0,3
2007-02-14T16:15:37Z,-17.552597,1,1,3
2007-02-15T15:54:48Z,,1,1,3
2007-02-15T17:34:54Z,-17.611324,0,1,3
2007-02-16T17:14:19Z,-17.782026,0,1,3
2007-02-17T02:59:23Z,-17.384474,0,0,3
2007-02-18T02:38:48Z,-16.175976,0,0,3
2007-02-18T04:18:50Z,-17.959877,1,0,3
2007-02-18T16:32:58Z,,1,1,3
2007-02-19T03:58:03Z,-17.312368,1,0,3
2007-02-19T16:12:12Z,-17.498453,1,1,3
2007-02-20T17:31:31Z,-17.372656,0,1,3
2007-02-21T03:16:37Z,,0,0,3
2007-02-21T17:10:55Z,-16.78194,0,1,3
2007-02-22T02:55:59Z,-15.849555,0,0,3
2007-02-24T03:54:38Z,-16.041704,1,0,3
2007-02-24T16:08:46Z,-15.54454,1,1,3
2007-02-25T17:28:08Z,-16.209051,0,1,3
2007-02-26T03:13:13Z,-16.300821,0,0,3
2007-02-26T17:07:32Z,-16.82554,0,1,3
2007-02-27T02:52:36Z,-15.756176,0,0,3
2007-03-01T16:05:21Z,-15.921082,1,1,3
2007-03-02T17:24:45Z,-16.188803,0,1,3
2007-03-03T03:09:50Z,-15.946984,0,0,3
2007-03-03T17:04:08Z,-16.23587,0,1,3
2007-03-04T02:49:13Z,-15.238227,0,0,3
2007-03-05T04:08:34Z,-15.552597,1,0,3
2007-03-05T16:22:44Z,-15.960201,1,1,3
2007-03-06T03:47:47Z,-15.135696,1,0,3
2007-03-06T16:01:56Z,-15.25663,1,1,3
2007-03-07T17:21:22Z,-15.901541,0,1,3
2007-03-08T03:06:26Z,-15.736995,0,0,3
2007-03-08T17:00:44Z,,0,1,3
2007-03-09T02:45:50Z,-15.166945,0,0,3
2007-03-10T04:05:08Z,-13.743951,1,0,3
2007-03-10T16:19:18Z,-14.449834,1,1,3
