time,backscatter40,swath_indicator,as_des_pass,sat_id
2007-01-01T19:43:11Z,-11.646178,1,1,3
2007-01-01T21:23:29Z,-12.336268,0,1,3
2007-01-02T05:37:51Z,-12.234253,0,0,3
2007-01-02T07:18:15Z,-11.359132,1,0,3
2007-01-02T19:22:19Z,-11.386372,1,1,3
2007-01-02T21:02:50Z,,0,1,3
2007-01-03T05:17:12Z,-11.832409,0,0,3
2007-01-03T06:57:23Z,-11.928187,1,0,3
2007-01-04T04:56:37Z,-11.680855,0,0,3
2007-01-04T06:36:36Z,-11.884792,1,0,3
2007-01-04T20:21:24Z,,1,1,3
2007-01-04T22:01:18Z,-11.764197,0,1,3
2007-01-05T04:36:05Z,-11.006912,0,0,3
2007-01-05T20:00:37Z,-12.069022,1,1,3
2007-01-05T21:40:44Z,-11.813137,0,1,3
2007-01-06T19:39:47Z,-11.230225,1,1,3
2007-01-06T21:20:07Z,-11.980573,0,1,3
2007-01-07T05:34:27Z,-11.886014,0,0,3
2007-01-07T07:14:51Z,-10.996056,1,0,3
2007-01-07T19:18:53Z,,1,1,3
2007-01-08T05:13:51Z,-11.48725,0,0,3
2007-01-08T06:53:59Z,-11.546982,1,0,3
2007-01-09T04:53:16Z,-10.548348,0,0,3
2007-01-09T06:33:12Z,,1,0,3
2007-01-09T20:18:00Z,,1,1,3
2007-01-09T21:57:57Z,-10.864234,0,1,3
2007-01-10T19:57:13Z,-11.752192,1,1,3
2007-01-10T21:37:22Z,-11.641559,0,1,3
2007-01-11T07:32:18Z,,1,0,3
2007-01-11T19:36:21Z,-11.910584,1,1,3
2007-01-11T21:16:44Z,-12.577362,0,1,3
2007-01-12T05:31:06Z,-12.468411,0,0,3
2007-01-12T07:11:25Z,-11.837856,1,0,3
2007-01-13T05:10:28Z,-12.00457,0,0,3
2007-01-13T06:50:35Z,-12.344822,1,0,3
2007-01-13T22:15:08Z,-12.427054,0,1,3
2007-01-14T04:49:54Z,-12.053029,0,0,3
2007-01-14T20:14:36Z,-12.288159,1,1,3
2007-01-14T21:54:35Z,-12.0718355,0,1,3
2007-01-15T19:53:48Z,-12.263505,1,1,3
2007-01-15T21:34:00Z,-12.353867,0,1,3
2007-01-16T05:48:22Z,,0,0,3
2007-01-16T07:28:53Z,-11.614621,1,0,3
2007-01-16T19:32:57Z,-11.772168,1,1,3
2007-01-16T21:13:21Z,-12.943234,0,1,3
2007-01-17T05:27:42Z,-12.41816,0,0,3
2007-01-17T07:08:00Z,-11.755882,1,0,3
2007-01-18T05:07:06Z,-12.073321,0,0,3
2007-01-18T06:47:11Z,-12.474113,1,0,3
2007-01-18T22:11:46Z,-12.094142,0,1,3
2007-01-19T04:46:32Z,-12.045396,0,0,3
2007-01-19T20:11:12Z,-12.735416,1,1,3
2007-01-19T21:51:12Z,-12.222657,0,1,3
2007-01-20T19:50:24Z,-12.191636,1,1,3
2007-01-20T21:30:37Z,-12.418523,0,1,3
2007-01-21T05:44:58Z,,0,0,3
2007-01-21T07:25:28Z,-11.753423,1,0,3
2007-01-21T19:29:31Z,-11.883313,1,1,3
2007-01-21T21:09:58Z,-12.7155075,0,1,3
2007-01-22T05:24:20Z,-12.257931,0,0,3
2007-01-22T07:04:36Z,-11.884857,1,0,3
2007-01-23T05:03:44Z,-11.999404,0,0,3
2007-01-23T06:43:46Z,-12.454957,1,0,3
2007-01-23T22:08:24Z,-11.885632,0,1,3
2007-01-24T04:43:10Z,-11.638833,0,0,3
2007-01-24T20:07:48Z,-12.377479,1,1,3
2007-01-24T21:47:50Z,-11.965989,0,1,3
2007-01-25T19:46:58Z,-11.540832,1,1,3
2007-01-25T21:27:14Z,-12.0866785,0,1,3
2007-01-26T05:41:35Z,-12.343266,0,0,3
2007-01-26T07:22:02Z,-11.64413,1,0,3
2007-01-26T19:26:06Z,-12.022328,1,1,3
2007-01-26T21:06:36Z,,0,1,3
2007-01-27T05:20:57Z,-12.31618,0,0,3
2007-01-27T07:01:11Z,-12.003833,1,0,3
2007-01-28T05:00:21Z,-11.795452,0,0,3
2007-01-28T06:40:21Z,-12.479001,1,0,3
2007-01-28T22:05:02Z,-11.875421,0,1,3
2007-01-29T04:39:48Z,-11.910786,0,0,3
2007-01-29T20:04:23Z,-12.315556,1,1,3
2007-01-29T21:44:28Z,-11.986974,0,1,3
2007-01-30T19:43:33Z,-11.865468,1,1,3
