time,backscatter40,swath_indicator,as_des_pass,sat_id
2007-01-02T04:18:43Z,-13.2653,0,1,3
2007-01-02T15:35:24Z,-13.208417,1,0,3
2007-01-03T03:58:06Z,-13.032414,0,1,3
2007-01-03T15:14:40Z,-13.790648,1,0,3
2007-01-05T03:16:45Z,-13.257554,1,1,3
2007-01-05T14:33:23Z,-12.885564,0,0,3
2007-01-07T04:15:21Z,-13.160077,0,1,3
2007-01-07T15:32:00Z,-13.021825,1,0,3
2007-01-08T03:54:44Z,,0,1,3
2007-01-09T03:34:05Z,,1,1,3
2007-01-09T14:50:37Z,,0,0,3
2007-01-10T03:13:21Z,-13.125954,1,1,3
2007-01-10T14:30:01Z,-12.729671,0,0,3
2007-01-12T04:11:59Z,-13.06766,0,1,3
2007-01-12T15:28:36Z,-13.080009,1,0,3
2007-01-14T03:30:41Z,-12.780972,1,1,3
2007-01-14T14:47:15Z,-12.597478,0,0,3
2007-01-15T03:09:58Z,-13.024882,1,1,3
2007-01-15T14:26:39Z,-13.2470665,0,0,3
2007-01-17T04:08:37Z,-13.172565,0,1,3
2007-01-17T15:25:13Z,-13.019627,1,0,3
2007-01-19T03:27:18Z,-13.326486,1,1,3
2007-01-19T14:43:53Z,-12.73458,0,0,3
2007-01-20T03:06:34Z,-13.127164,1,1,3
2007-01-20T14:23:17Z,-13.131755,0,0,3
2007-01-21T04:25:49Z,,0,1,3
2007-01-21T15:42:34Z,,1,0,3
2007-01-22T04:05:14Z,-13.111323,0,1,3
2007-01-22T15:21:49Z,-13.180725,1,0,3
2007-01-24T03:23:54Z,-13.149473,1,1,3
2007-01-24T14:40:29Z,-12.861766,0,0,3
2007-01-26T04:22:27Z,-13.072473,0,1,3
2007-01-26T15:39:10Z,-12.989343,1,0,3
2007-01-27T04:01:51Z,-13.435051,0,1,3
2007-01-27T15:18:25Z,-13.297298,1,0,3
2007-01-29T03:20:31Z,-12.861542,1,1,3
2007-01-29T14:37:07Z,-12.641682,0,0,3
2007-01-31T04:19:05Z,-13.046863,0,1,3
2007-01-31T15:35:46Z,-12.727042,1,0,3
2007-02-01T03:58:28Z,-13.101925,0,1,3
2007-02-01T15:15:02Z,-13.515651,1,0,3
2007-02-03T03:17:06Z,-12.658174,1,1,3
2007-02-03T14:33:44Z,-12.795743,0,0,3
2007-02-05T04:15:42Z,-12.915928,0,1,3
2007-02-05T15:32:21Z,-12.92941,1,0,3
2007-02-06T03:55:05Z,,0,1,3
2007-02-07T14:50:58Z,,0,0,3
2007-02-08T03:13:42Z,-13.180954,1,1,3
2007-02-08T14:30:22Z,-12.894137,0,0,3
2007-02-10T04:12:19Z,-13.074318,0,1,3
2007-02-10T15:28:57Z,-12.873357,1,0,3
2007-02-12T03:31:01Z,-12.842239,1,1,3
2007-02-12T14:47:35Z,-12.717956,0,0,3
2007-02-13T03:10:18Z,-13.357688,1,1,3
2007-02-13T14:26:59Z,-13.114983,0,0,3
2007-02-15T04:08:56Z,-13.389807,0,1,3
2007-02-15T15:25:32Z,-13.212846,1,0,3
2007-02-17T03:27:37Z,-13.510582,1,1,3
2007-02-17T14:44:12Z,-12.935313,0,0,3
2007-02-18T03:06:53Z,-13.586735,1,1,3
2007-02-18T14:23:36Z,-13.48943,0,0,3
2007-02-19T04:26:08Z,,0,1,3
2007-02-19T15:42:53Z,,1,0,3
2007-02-20T04:05:32Z,-13.349467,0,1,3
2007-02-20T15:22:08Z,-13.284694,1,0,3
2007-02-22T03:24:13Z,-13.351127,1,1,3
2007-02-22T14:40:49Z,-13.053249,0,0,3
2007-02-24T04:22:45Z,-13.064612,0,1,3
2007-02-24T15:39:28Z,-13.101467,1,0,3
2007-02-25T04:02:09Z,-13.460092,0,1,3
2007-02-25T15:18:43Z,-13.18574,1,0,3
2007-02-27T03:20:48Z,-13.288165,1,1,3
2007-03-01T15:36:03Z,-13.309129,1,0,3
2007-03-02T03:58:46Z,-13.578027,0,1,3
2007-03-02T15:15:19Z,-14.125734,1,0,3
2007-03-04T03:17:23Z,-13.385294,1,1,3
2007-03-04T14:34:01Z,-13.074913,0,0,3
2007-03-06T04:15:59Z,-13.399446,0,1,3
2007-03-06T15:32:38Z,-12.929534,1,0,3
2007-03-07T03:55:22Z,,0,1,3
2007-03-08T14:51:15Z,,0,0,3
2007-03-09T03:13:58Z,-13.047421,1,1,3
2007-03-09T14:30:38Z,-12.839908,0,0,3
2007-03-11T04:12:35Z,-12.915166,0,1,3
2007-03-11T15:29:13Z,-12.963154,1,0,3
2007-03-13T03:31:17Z,-12.618945,1,1,3
2007-03-13T14:47:51Z,-12.3077345,0,0,3
2007-03-14T03:10:33Z,-12.703865,1,1,3
2007-03-14T14:27:14Z,-12.769242,0,0,3
2007-03-16T04:09:11Z,-13.426133,0,1,3
2007-03-16T15:25:48Z,-13.240764,1,0,3
2007-03-18T03:27:52Z,-13.466664,1,1,3
2007-03-18T14:44:27Z,-13.013417,0,0,3
2007-03-19T03:07:08Z,-13.510614,1,1,3
2007-03-19T14:23:51Z,-13.124137,0,0,3
2007-03-20T04:26:22Z,,0,1,3
2007-03-20T15:43:08Z,,1,0,3
2007-03-21T04:05:47Z,-13.040263,0,1,3
2007-03-21T15:22:22Z,-13.074649,1,0,3
2007-03-23T03:24:27Z,-12.478378,1,1,3
2007-03-23T14:41:02Z,-12.681651,0,0,3
2007-03-25T04:22:59Z,-12.615584,0,1,3
2007-03-25T15:39:42Z,-12.584358,1,0,3
2007-03-26T04:02:23Z,-12.622787,0,1,3
2007-03-26T15:18:57Z,-12.88647,1,0,3
2007-03-28T03:21:02Z,-12.057521,1,1,3
2007-03-28T14:37:39Z,-12.377124,0,0,3
2007-03-30T04:19:35Z,-12.405719,0,1,3
2007-03-30T15:36:16Z,-12.525792,1,0,3
2007-03-31T03:58:59Z,-12.164958,0,1,3
