time,skt,stl1,stl2,swvl1,swvl2,sd
2007-01-01T00:00:00Z,-20.696045,-1.5196838,-1.7978821,0.33794338,0.33970827,0.04028511
2007-01-01T06:00:00Z,-24.803726,-2.3771057,-1.7610779,0.33786994,0.33960867,0.040257454
2007-01-01T12:00:00Z,-27.683731,-3.5951233,-1.7790833,0.3394394,0.33962744,0.040275574
2007-01-01T18:00:00Z,-27.51059,-2.9325562,-1.7952881,0.33965972,0.33951655,0.040317535
2007-01-02T00:00:00Z,-25.937057,-2.167572,-1.8251648,0.33967572,0.3393936,0.040353775
2007-01-02T06:00:00Z,-22.834702,-2.4491272,-1.8500671,0.3396091,0.3392774,0.040678024
2007-01-02T12:00:00Z,-21.098068,-1.431366,-1.8585205,0.33946124,0.3391528,0.04088688
2007-01-02T18:00:00Z,-21.85913,-1.3043823,-1.8702393,0.3393544,0.33906126,0.040919304
2007-01-03T00:00:00Z,-21.381592,-1.3887024,-1.8405457,0.33928388,0.33905917,0.04107666
2007-01-03T06:00:00Z,-23.13916,-1.298584,-1.8175049,0.33909875,0.33898187,0.041023254
2007-01-03T12:00:00Z,-25.071259,-0.216156,-1.7891235,0.33884877,0.33885983,0.04094982
2007-01-03T18:00:00Z,-24.02385,-1.4898376,-1.7701721,0.33867335,0.33879286,0.040991783
2007-01-04T00:00:00Z,-21.890427,-1.1806946,-1.749115,0.33842137,0.33863395,0.041009903
2007-01-04T06:00:00Z,-21.420105,-1.0639343,-1.7375793,0.33828247,0.33855385,0.040902138
2007-01-04T12:00:00Z,-21.105637,-0.71224976,-1.708252,0.33830708,0.3384516,0.043642998
2007-01-04T18:00:00Z,-22.483215,-1.245697,-1.6867371,0.3380973,0.33837718,0.044629097
2007-01-05T00:00:00Z,-22.01036,-1.3217468,-1.6619568,0.33797625,0.33842483,0.045074463
2007-01-05T06:00:00Z,-22.221878,-1.4678345,-1.6455383,0.33780828,0.33834904,0.044898987
2007-01-05T12:00:00Z,-26.12291,-0.80892944,-1.6351318,0.33783764,0.33859578,0.04483986
2007-01-05T18:00:00Z,-30.2854,-1.6829224,-1.6288147,0.3377983,0.33850503,0.04481983
2007-01-06T00:00:00Z,-33.740097,-1.3694153,-1.6291199,0.33766764,0.33913705,0.04483795
2007-01-06T06:00:00Z,-33.842834,-1.6257019,-1.6300049,0.33762333,0.33902782,0.0448637
2007-01-06T12:00:00Z,-33.223038,-1.2129822,-1.6225281,0.33645505,0.33812195,0.044870377
2007-01-06T18:00:00Z,-31.150833,-1.4840698,-1.6225891,0.33644664,0.33800924,0.04490471
2007-01-07T00:00:00Z,-30.723358,-2.4099426,-1.6141052,0.33634287,0.33792046,0.04504013
2007-01-07T06:00:00Z,-29.550247,-1.5200806,-1.6109619,0.33628458,0.33779168,0.045080185
2007-01-07T12:00:00Z,-30.546051,-1.5787354,-1.6037903,0.3361246,0.3375588,0.045060158
2007-01-07T18:00:00Z,-31.411911,-2.5794373,-1.6000366,0.33608392,0.33746856,0.04503727
2007-01-08T00:00:00Z,-32.55716,-3.6719055,-1.6272278,0.33558246,0.33659542,0.04505062
2007-01-08T06:00:00Z,-33.99211,-4.1184387,-1.6499329,0.33551627,0.33648506,0.04505825
2007-01-08T12:00:00Z,-35.334778,-4.4530945,-1.7037354,0.33509845,0.33534524,0.04507637
2007-01-08T18:00:00Z,-37.166367,-4.9953613,-1.7366028,0.33504725,0.33523852,0.045084953
2007-01-09T00:00:00Z,-39.959763,-4.5336304,-1.8070679,0.33837855,0.3353905,0.04509163
2007-01-09T06:00:00Z,-40.605972,-3.91568,-1.8456726,0.338317,0.33529684,0.04509449
2007-01-09T12:00:00Z,-40.967117,-3.4901428,-1.8945923,0.33858058,0.340208,0.04509926
2007-01-09T18:00:00Z,-38.230408,-3.6929626,-1.9306946,0.33848488,0.34015042,0.04511261
2007-01-10T00:00:00Z,-37.191406,-4.028961,-1.9716492,0.33866194,0.33955836,0.04513836
2007-01-10T06:00:00Z,-35.40953,-4.088135,-2.0017395,0.33868378,0.33941647,0.04515171
2007-01-10T12:00:00Z,-33.35765,-2.9145203,-2.0481262,0.3386688,0.33908305,0.045165062
2007-01-10T18:00:00Z,-30.348358,-2.1298523,-2.0738525,0.33859184,0.33895314,0.04518032
2007-01-11T00:00:00Z,-25.783203,-3.9602356,-2.0604248,0.3385328,0.33879414,0.045145035
2007-01-11T06:00:00Z,-22.306168,-4.9272156,-2.053009,0.33845446,0.33866337,0.04502392
2007-01-11T12:00:00Z,-19.560593,-4.504608,-2.1106873,0.33808848,0.34276527,0.04590988
2007-01-11T18:00:00Z,-17.150696,-4.9892883,-2.127716,0.3380093,0.34264335,0.047968864
2007-01-12T00:00:00Z,-15.702484,-5.2134094,-2.179596,0.33933374,0.3426392,0.048527718
2007-01-12T06:00:00Z,-12.957489,-5.3381653,-2.1932068,0.33946934,0.34243742,0.04880619
2007-01-12T12:00:00Z,-12.555328,-5.019104,-2.2539673,0.33971396,0.3422565,0.048858643
2007-01-12T18:00:00Z,-13.176239,-4.7789917,-2.2625427,0.33968672,0.34205166,0.04886055
2007-01-13T00:00:00Z,-12.644806,-4.231262,-2.3101501,0.33964792,0.34185004,0.049211502
2007-01-13T06:00:00Z,-12.812042,-4.334564,-2.3172302,0.3396108,0.34165442,0.051000595
2007-01-13T12:00:00Z,-13.753754,-3.479004,-2.3522644,0.33949932,0.34139228,0.053819656
2007-01-13T18:00:00Z,-14.514618,-3.7933655,-2.3582458,0.33946893,0.341198,0.054883003
2007-01-14T00:00:00Z,-13.834869,-2.658142,-2.3786316,0.33943173,0.34101284,0.05537033
2007-01-14T06:00:00Z,-14.201935,-2.011139,-2.3804932,0.33941096,0.34081814,0.057408333
2007-01-14T12:00:00Z,-15.022736,-0.18460083,-2.3390198,0.34034556,0.34129736,0.05766964
2007-01-14T18:00:00Z,-16.522003,-1.5179749,-2.3078308,0.34034953,0.3411295,0.055563927
2007-01-15T00:00:00Z,-18.200424,-1.5774841,-2.2520447,0.34040785,0.34125364,0.055301666
2007-01-15T06:00:00Z,-18.867859,-1.4730225,-2.209076,0.34033647,0.34110415,0.05528736
2007-01-15T12:00:00Z,-18.21106,-0.8677063,-2.1608582,0.34114107,0.3413259,0.055490494
2007-01-15T18:00:00Z,-18.816742,-4.0356445,-2.1231384,0.34103984,0.34117234,0.05579567
2007-01-16T00:00:00Z,-21.139404,-3.1558533,-2.1657104,0.34150243,0.34131563,0.05609131
2007-01-16T06:00:00Z,-23.924637,-1.7179565,-2.1820374,0.3415331,0.34116533,0.056331635
2007-01-16T12:00:00Z,-23.880432,-1.7776184,-2.1474915,0.33428463,0.33182514,0.056362152
2007-01-16T18:00:00Z,-25.688278,-1.8447571,-2.1221313,0.3343146,0.33168787,0.056303024
2007-01-17T00:00:00Z,-23.720337,-0.68063354,-2.0887146,0.3346081,0.3313934,0.056339264
2007-01-17T06:00:00Z,-21.423965,-1.0987854,-2.0724792,0.33472177,0.33127132,0.056354523
2007-01-17T12:00:00Z,-20.792496,-0.27005005,-2.0238342,0.33442408,0.33123615,0.056412697
2007-01-17T18:00:00Z,-18.807983,-0.87420654,-1.9859314,0.33413988,0.3311554,0.056505203
